channel_set,epoch,g,is_best,learning_rate,model_family,run_id,stride,ticket_stage,track,train_acc@1,train_loss,validation_file_acc@1,validation_file_f1,validation_window_acc@1,validation_window_f1,view_mode,window_size
,16,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,69.34713375796179,0.9374141093272312,,,,,diff,100
,17,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,69.94426751592357,0.8872154127260682,,,,,diff,100
,18,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,70.85987261146497,0.8841652175423446,,,,,diff,100
,19,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,70.46178343949045,0.8672125893793289,,,,,diff,100
,20,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,71.05891719745223,0.8698564995625976,,,,,diff,100
,21,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,73.40764331210191,0.8055754121701428,,,,,diff,100
,22,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,73.40764331210191,0.7902770968759136,,,,,diff,100
,23,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,71.77547770700637,0.8073415549317743,,,,,diff,100
,24,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,74.04458598726114,0.7957731975111991,,,,,diff,100
,25,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,75.03980891719745,0.7747359036639997,,,,,diff,100
,26,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,76.43312101910828,0.7129161359777876,,,,,diff,100
,27,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,74.36305732484077,0.7631594037554067,,,,,diff,100
,28,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,75.87579617834395,0.7215791500298081,,,,,diff,100
